Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Total Orders","Total Gross Sales","Total Revenue"
"Lightsource Envisioning 2019: Meetup & Tea Party! PLUS NEW Thou Art God wristbands & Consent Culture buttons","Lightsource Envisioning 2019: Meetup & Tea Party! PLUS NEW Thou Art God wristbands & Consent Culture buttons",Lightsource,"Dec 12, 2018 07:45 am",Wednesday,937,783,28,126,154,0,0,71,9.07%,92,1,0.13%,1,14,0,0,0,dfbbba4bf8,0,0,0
" (copy 01)","Register as a member before New Years to get your Gift set!",Lightsource,"Dec 21, 2018 07:45 am",Friday,1839,1784,39,16,55,0,0,233,13.06%,278,4,0.22%,5,65,0,0,0,1e819b6ddd,0,0,0
"Escape The Planet // Off To Space","FRIDAY NIGHT - Escape The Planet // OFF TO SPACE",Lightsource,"Feb 21, 2019 09:59 pm",Thursday,1760,1723,31,6,37,0,0,219,12.71%,285,5,0.29%,6,31,0,0,0,84c4abc48c,0,0,0
"Free Hugs","10 year anniversary of FREE HUGS NYC - Come out and play!",Lightsource,"Mar 11, 2019 07:30 am",Monday,1890,1700,46,144,190,0,0,156,9.18%,200,2,0.12%,2,20,0,0,0,325eb1f748,0,0,0
"Stickers 2019 fundraiser","LAST CHANCE get free pack of stickers before they're gone",Lightsource,"Mar 16, 2019 08:45 am",Saturday,1726,1652,33,41,74,0,0,264,15.98%,323,9,0.54%,11,38,1,0,0,2cb6b6e6f5,0,0,0
"Free Hugs (copy 01)","10 year anniversary of FREE HUGS NYC - Come out and play in the rain!",Lightsource,"Mar 22, 2019 08:15 am",Friday,1648,1594,9,45,54,0,0,126,7.90%,164,3,0.19%,3,10,0,0,0,bdfcb490de,0,0,0
"Free Hugs (copy 02)","This Saturday Annual Pillow Fight at Washington Sq! FREE HUGS NYC",Lightsource,"Apr 04, 2019 12:15 am",Thursday,1592,1582,4,6,10,0,0,146,9.23%,183,4,0.25%,4,10,0,0,0,6db38d21e8,0,0,0
"Love Parade and More | Combo 1","Disrupt With LOVE!  Parade For Love Next Sunday",Lightsource,"May 05, 2019 07:29 am",Sunday,199,183,5,11,16,0,0,12,6.56%,20,1,0.55%,1,0,0,0,0,652dbec20c,0,0,0
"Love Parade and More | Combo 2","Disrupt with JOY!  Parade For Love Next Sunday",Lightsource,"May 05, 2019 07:29 am",Sunday,198,170,14,14,28,0,0,12,7.06%,13,1,0.59%,1,2,0,0,0,47d54435c8,0,0,0
"Love Parade and More",,Lightsource,"May 05, 2019 07:30 am",Sunday,1809,1570,121,118,239,0,0,141,8.98%,167,4,0.25%,0,10,0,0,0,a94ce6d5bc,0,0,0
"Love Parade and More | Winner","Disrupt With LOVE!  Parade For Love Next Sunday",Lightsource,"May 05, 2019 11:29 am",Sunday,1412,1217,102,93,195,0,0,117,9.61%,134,2,0.16%,2,8,0,0,0,c1a600e566,0,0,0
"Love Parade Last Shoutout | Combo 2","DISRUPT WITH LOVE THIS SATURDAY! #FreeHugsNYC at the parade and Union Square",Lightsource,"May 09, 2019 08:29 am",Thursday,336,311,25,0,25,0,0,18,5.79%,20,0,0.00%,0,1,0,0,0,a1aed6838d,0,0,0
"Love Parade Last Shoutout | Combo 1","PARADE FOR LOVE THIS SATURDAY - #FreeHugsNYC All Weekend!",Lightsource,"May 09, 2019 08:29 am",Thursday,336,309,27,0,27,0,0,22,7.12%,25,1,0.32%,2,4,0,0,0,f8f95de4ae,0,0,0
"Love Parade Last Shoutout",,Lightsource,"May 09, 2019 08:30 am",Thursday,1682,1562,120,0,120,0,0,124,7.94%,148,5,0.32%,0,7,0,0,0,cbeb25b286,0,0,0
"Love Parade Last Shoutout | Winner","PARADE FOR LOVE THIS SATURDAY - #FreeHugsNYC All Weekend!",Lightsource,"May 09, 2019 05:29 pm",Thursday,1010,942,68,0,68,0,0,84,8.92%,103,4,0.42%,5,2,0,0,0,b4c825516b,0,0,0
